OBJECTID,businessUnit_name,businessUnit_number,Description,Type,Address,City,County,State,Postal Code,Operation Status,GlobalID,x,y
53559,HORSHAM PA,3564,WM Supercenter,Retail,2101 BLAIR MILL RD,WILLOW GROVE,MONTGOMERY,PA,19090-1751,Open,e0977097-06fd-4b98-a864-ea1b6d637fb3,-8364456.0355,4889006.0948
53560,"HUDSON, NY",2097,WM Supercenter,Retail,460 FAIRVIEW AVE,HUDSON,COLUMBIA,NY,12534-1018,Open,a01eea93-9f90-42c6-b55e-bb39d26ce54c,-8209851.6305,5202773.4705
53561,"LURAY, VA",2564,WM Supercenter,Retail,1036 US HIGHWAY 211 W,LURAY,PAGE,VA,22835-5245,Open,4fe4cbb8-1eae-4a29-ac8f-0a7ccf28a5b5,-8737891.0709,4673440.5403
53562,"MADISON HEIGHTS, VA",2565,WM Supercenter,Retail,197 MADISON HEIGHTS SQ,MADISON HEIGHTS,AMHERST,VA,24572-6243,Open,7c3c2aba-6516-4a1f-8f84-c8b676487ec0,-8807108.0832,4503621.2554
53563,"CHARLES TOWN, WV",2566,WM Supercenter,Retail,96 PATRICK HENRY WAY,CHARLES TOWN,JEFFERSON,WV,25414-4391,Open,200cee8a-0cc4-420f-9ec5-c2bc0c229e17,-8663702.1963,4764780.2947
53564,"GRANDVILLE, MI",2567,WM Supercenter,Retail,4542 KENOWA AVE SW,GRANDVILLE,KENT,MI,49418-9523,Open,4cab2102-7213-45c8-82b3-216628bb91c4,-9549058.1666,5293952.9045
53565,"PANORAMA CITY, CA",2568,Wal-Mart,Retail,8333 VAN NUYS BLVD,PANORAMA CITY,LOS ANGELES,CA,91402-3607,Open,a3d83a2f-71fd-4a03-9ba0-3451ba31af4b,-13185738.47,4058738.6143
53566,"FEDERAL WAY, WA",2571,Wal-Mart,Retail,1900 S 314TH ST,FEDERAL WAY,KING,WA,98003-5622,Open,a1764dde-c247-474b-ba04-e2a3202929bf,-13615462.54,5994756.9844
53567,"WAVERLY, OH",2572,WM Supercenter,Retail,990 W EMMITT AVE,WAVERLY,PIKE,OH,45690-1095,Open,4bf64ad3-11d8-4b06-b3af-592eb530a4bf,-9239455.9535,4737531.6433
53568,"CARLISLE, PA",2574,WM Supercenter,Retail,60 NOBLE BLVD,CARLISLE,CUMBERLAND,PA,17013-4119,Open,35d5577d-531b-4c57-b72c-0c56f5be758b,-8593233.1738,4893493.1718
53569,"CONWAY (S), AR",2575,WM Supercenter,Retail,3900 DAVE WARD DR,CONWAY,FAULKNER,AR,72034-5583,Open,32246ce1-0872-43f6-ad94-cc17fba6b52d,-10296516.895,4173791.7011
53570,"CROSS LANES, WV",2576,WM Supercenter,Retail,100 NITRO MARKET PL,CROSS LANES,KANAWHA,WV,25313-4401,Open,c2e51626-80e8-4762-9bb9-1327ac9c4a2a,-9106776.1449,4637699.7188
53571,"HUNT VALLEY, MD",2577,WM Supercenter,Retail,1 FRANKEL WAY,COCKEYSVILLE,BALTIMORE,MD,21030-3220,Open,725846bc-efd5-4a5e-97a9-20e475c6fac4,-8531887.1175,4789316.5857
53572,"CHADRON, NE",2579,WM Supercenter,Retail,510 LINDEN ST,CHADRON,DAWES,NE,69337-6989,Open,6cbb2738-e2a8-428e-a057-f0f50d48d87d,-11468370.4954,5285687.677
53573,"CLINTON, NC",2580,WM Supercenter,Retail,1415 SUNSET AVE,CLINTON,SAMPSON,NC,28328-3825,Open,22339459-e8e8-40d7-80f4-138c3c590130,-8722107.7483,4162301.8728
53574,"CAMILLUS, NY",2581,WM Supercenter,Retail,5399 W GENESEE ST,CAMILLUS,ONONDAGA,NY,13031-2265,Open,f122a093-0b08-4232-94f2-1464a5a31b67,-8490597.0485,5317730.514
53575,"CLINTON, NJ",2582,Wal-Mart,Retail,ROUTE 513 AND I78,CLINTON,HUNTERDON,NJ,08809-0000,Open,1e6b9f1d-6510-41f8-a9eb-2b3d51696cd3,-8340190.0563,4957696.1784
53576,"UNIONDALE (LI), NY",2583,Wal-Mart,Retail,1123 JERUSALEM AVE,UNIONDALE,NASSAU,NY,11553-3004,Open,621996d0-d848-4ecc-ba8b-32cd49b443c1,-8190673.7312,4967583.0308
